starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 29 17:25:49 2020	1603952749	24	325	348	325
Thu Oct 29 17:24:37 2020	1603952677	24	325	348	324
Thu Oct 29 17:24:45 2020	1603952685	24	324	348	324
Thu Oct 29 17:25:28 2020	1603952728	24	324	348	324
Thu Oct 29 17:25:00 2020	1603952700	23	325	348	325
Thu Oct 29 17:25:25 2020	1603952725	29	320	349	319
Thu Oct 29 17:24:50 2020	1603952690	24	325	349	325
Thu Oct 29 17:25:37 2020	1603952737	27	321	349	321
Thu Oct 29 17:25:23 2020	1603952723	43	306	349	306
Thu Oct 29 17:26:06 2020	1603952766	23	326	349	326
Thu Oct 29 17:25:59 2020	1603952759	41	308	349	308
Thu Oct 29 17:24:36 2020	1603952676	24	325	349	325
Thu Oct 29 17:24:47 2020	1603952687	29	320	350	320
Thu Oct 29 17:25:29 2020	1603952729	22	328	350	327
Thu Oct 29 17:25:46 2020	1603952746	26	324	350	324
Thu Oct 29 17:25:45 2020	1603952745	26	324	350	324
Thu Oct 29 17:25:36 2020	1603952736	39	311	350	311
Thu Oct 29 17:24:49 2020	1603952689	26	324	350	324
Thu Oct 29 17:24:47 2020	1603952687	39	311	350	311
Thu Oct 29 17:25:07 2020	1603952707	21	329	350	329
Thu Oct 29 17:25:10 2020	1603952710	23	327	350	327
Thu Oct 29 17:25:33 2020	1603952733	44	306	350	305
Thu Oct 29 17:24:55 2020	1603952695	21	329	350	329
Thu Oct 29 17:24:45 2020	1603952685	27	323	350	323
Thu Oct 29 17:24:49 2020	1603952689	24	327	351	326
Thu Oct 29 17:25:07 2020	1603952707	26	324	351	324
Thu Oct 29 17:25:57 2020	1603952757	23	328	351	328
Thu Oct 29 17:25:22 2020	1603952722	24	327	351	326
Thu Oct 29 17:25:17 2020	1603952717	23	328	351	328
Thu Oct 29 17:25:40 2020	1603952740	23	328	351	328
Thu Oct 29 17:25:00 2020	1603952700	24	327	351	327
Thu Oct 29 17:24:48 2020	1603952688	28	323	352	323
Thu Oct 29 17:24:44 2020	1603952684	22	330	352	330
Thu Oct 29 17:25:37 2020	1603952737	21	331	352	330
Thu Oct 29 17:25:59 2020	1603952759	43	309	352	308
Thu Oct 29 17:24:35 2020	1603952675	21	331	352	331
Thu Oct 29 17:25:11 2020	1603952711	22	330	352	330
Thu Oct 29 17:25:45 2020	1603952745	21	332	352	331
Thu Oct 29 17:24:41 2020	1603952681	27	326	353	326
Thu Oct 29 17:24:35 2020	1603952675	25	328	353	326
Thu Oct 29 17:25:28 2020	1603952728	43	310	353	310
Thu Oct 29 17:25:13 2020	1603952713	21	332	353	331
Thu Oct 29 17:24:44 2020	1603952684	25	328	353	328
Thu Oct 29 17:25:32 2020	1603952732	21	332	353	332
