starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 29 13:42:25 2020	1603939345	22	325	347	325
Thu Oct 29 13:42:57 2020	1603939377	24	323	347	323
Thu Oct 29 13:42:34 2020	1603939354	22	325	347	325
Thu Oct 29 13:42:29 2020	1603939349	26	322	347	322
Thu Oct 29 13:42:36 2020	1603939356	21	326	347	326
Thu Oct 29 13:42:44 2020	1603939364	23	324	348	324
Thu Oct 29 13:42:55 2020	1603939375	24	323	348	323
Thu Oct 29 13:42:26 2020	1603939346	22	325	348	325
Thu Oct 29 13:43:15 2020	1603939395	27	321	348	321
Thu Oct 29 13:42:25 2020	1603939345	24	324	348	324
Thu Oct 29 13:42:42 2020	1603939362	28	320	348	320
Thu Oct 29 13:42:28 2020	1603939348	25	323	348	323
Thu Oct 29 13:42:18 2020	1603939338	20	328	348	328
Thu Oct 29 13:42:15 2020	1603939335	21	327	348	327
Thu Oct 29 13:42:10 2020	1603939330	20	327	348	327
Thu Oct 29 13:42:33 2020	1603939353	23	325	348	325
Thu Oct 29 13:42:03 2020	1603939323	25	323	348	323
Thu Oct 29 13:42:12 2020	1603939332	28	321	348	321
Thu Oct 29 13:42:30 2020	1603939350	21	327	348	327
Thu Oct 29 13:42:58 2020	1603939378	27	321	348	321
Thu Oct 29 13:42:27 2020	1603939347	20	328	348	328
Thu Oct 29 13:42:19 2020	1603939339	25	323	348	323
Thu Oct 29 13:42:19 2020	1603939339	22	326	349	326
Thu Oct 29 13:42:00 2020	1603939320	22	327	349	327
Thu Oct 29 13:42:18 2020	1603939338	24	325	349	325
Thu Oct 29 13:42:13 2020	1603939333	21	327	349	327
Thu Oct 29 13:42:34 2020	1603939354	27	322	349	322
Thu Oct 29 13:42:24 2020	1603939344	26	323	349	323
Thu Oct 29 13:42:30 2020	1603939350	22	327	349	327
Thu Oct 29 13:43:13 2020	1603939393	22	327	349	327
Thu Oct 29 13:42:10 2020	1603939330	25	324	349	324
Thu Oct 29 13:42:01 2020	1603939321	22	327	349	326
Thu Oct 29 13:43:18 2020	1603939398	23	325	349	325
Thu Oct 29 13:42:10 2020	1603939330	31	318	349	317
Thu Oct 29 13:42:34 2020	1603939354	24	325	349	325
Thu Oct 29 13:42:06 2020	1603939326	25	324	349	324
Thu Oct 29 13:41:53 2020	1603939313	20	329	349	329
Thu Oct 29 13:43:08 2020	1603939388	32	318	349	318
Thu Oct 29 13:43:02 2020	1603939382	22	327	349	327
Thu Oct 29 13:42:25 2020	1603939345	22	328	349	328
Thu Oct 29 13:42:12 2020	1603939332	23	326	350	326
Thu Oct 29 13:42:29 2020	1603939349	24	326	350	326
Thu Oct 29 13:42:34 2020	1603939354	25	324	350	324
Thu Oct 29 13:42:19 2020	1603939339	25	325	350	325
Thu Oct 29 13:42:25 2020	1603939345	20	330	350	329
Thu Oct 29 13:43:05 2020	1603939385	22	328	350	328
Thu Oct 29 13:42:32 2020	1603939352	21	329	350	329
Thu Oct 29 13:42:03 2020	1603939323	22	328	350	328
Thu Oct 29 13:42:55 2020	1603939375	20	330	350	330
Thu Oct 29 13:42:06 2020	1603939326	27	323	350	323
Thu Oct 29 13:42:16 2020	1603939336	20	330	350	330
Thu Oct 29 13:42:27 2020	1603939347	26	324	350	324
Thu Oct 29 13:42:21 2020	1603939341	22	329	350	329
Thu Oct 29 13:42:39 2020	1603939359	20	331	350	331
Thu Oct 29 13:42:35 2020	1603939355	23	328	350	328
Thu Oct 29 13:43:03 2020	1603939383	33	317	350	317
Thu Oct 29 13:42:58 2020	1603939378	26	325	351	325
Thu Oct 29 13:42:10 2020	1603939330	25	326	351	326
Thu Oct 29 13:43:13 2020	1603939393	22	329	351	329
Thu Oct 29 13:41:59 2020	1603939319	22	329	351	329
Thu Oct 29 13:42:20 2020	1603939340	21	330	351	330
Thu Oct 29 13:42:16 2020	1603939336	25	327	351	327
Thu Oct 29 13:41:55 2020	1603939315	24	327	351	327
Thu Oct 29 13:42:25 2020	1603939345	21	331	351	330
Thu Oct 29 13:42:49 2020	1603939369	22	330	351	330
Thu Oct 29 13:42:26 2020	1603939346	23	329	351	329
Thu Oct 29 13:42:18 2020	1603939338	24	327	351	327
Thu Oct 29 13:43:05 2020	1603939385	24	327	351	327
Thu Oct 29 13:42:43 2020	1603939363	23	328	351	328
Thu Oct 29 13:42:35 2020	1603939355	22	330	352	330
Thu Oct 29 13:42:24 2020	1603939344	22	330	352	330
Thu Oct 29 13:42:07 2020	1603939327	22	330	352	330
Thu Oct 29 13:42:27 2020	1603939347	23	329	352	329
Thu Oct 29 13:43:06 2020	1603939386	35	317	352	317
Thu Oct 29 13:42:52 2020	1603939372	26	326	352	326
Thu Oct 29 13:43:13 2020	1603939393	22	330	352	330
Thu Oct 29 13:42:38 2020	1603939358	24	328	352	328
Thu Oct 29 13:41:58 2020	1603939318	21	331	352	331
Thu Oct 29 13:42:46 2020	1603939366	24	328	352	328
Thu Oct 29 13:42:53 2020	1603939373	23	329	352	329
Thu Oct 29 13:42:29 2020	1603939349	21	332	352	332
Thu Oct 29 13:42:36 2020	1603939356	24	328	352	328
Thu Oct 29 13:42:09 2020	1603939329	26	326	352	326
Thu Oct 29 13:43:07 2020	1603939387	36	316	352	316
Thu Oct 29 13:42:31 2020	1603939351	20	333	352	332
Thu Oct 29 13:43:10 2020	1603939390	20	333	352	332
Thu Oct 29 13:42:09 2020	1603939329	20	332	352	332
Thu Oct 29 13:42:21 2020	1603939341	29	323	353	323
Thu Oct 29 13:43:04 2020	1603939384	41	312	353	311
Thu Oct 29 13:42:12 2020	1603939332	21	332	353	332
Thu Oct 29 13:42:22 2020	1603939342	21	331	353	331
Thu Oct 29 13:43:14 2020	1603939394	20	332	353	332
Thu Oct 29 13:42:09 2020	1603939329	26	327	353	327
Thu Oct 29 13:43:03 2020	1603939383	44	309	353	309
Thu Oct 29 13:42:13 2020	1603939333	22	331	353	331
Thu Oct 29 13:43:10 2020	1603939390	37	316	353	316
Thu Oct 29 13:43:04 2020	1603939384	35	318	353	318
Thu Oct 29 13:42:23 2020	1603939343	21	332	353	332
Thu Oct 29 13:42:24 2020	1603939344	22	331	353	331
Thu Oct 29 13:42:54 2020	1603939374	23	331	353	331
Thu Oct 29 13:43:03 2020	1603939383	33	320	353	320
Thu Oct 29 13:42:31 2020	1603939351	22	332	353	331
Thu Oct 29 13:42:10 2020	1603939330	22	331	353	331
